area_tag	LONGI_DD	LATIT_DD	pos_string
Western Gotland Basin	18.33333	58.13333	18.33333_58.13333
Skagerrak	11.20133	57.87883	11.20133_57.87883
Skagerrak	10.1305	57.7415	10.1305_57.7415
Eastern Gotland Basin	20.571	57.20283	20.571_57.20283
Skagerrak	9.94502	58.08403	9.94502_58.08403
12n	18.91768	59.8203	18.91768_59.8203
Bothnian Bay	21.35333	64.07833	21.35333_64.07833
1n	11.2205	58.83433	11.2205_58.83433
Skagerrak	8.5491	57.4154	8.5491_57.4154
Kattegat	12.19333	56.57167	12.19333_56.57167
Bothnian Bay	22.06633	64.70833	22.06633_64.70833
Eastern Gotland Basin	19.125	57.245	19.125_57.245
Kattegat	12.20633	57.00783	12.20633_57.00783
Bornholm Basin	15.27083	55.80033	15.27083_55.80033
Eastern Gotland Basin	19.43373	57.38733	19.43373_57.38733
Arkona Basin	14.0985	54.97117	14.0985_54.97117
2	11.43563	58.25982	11.43563_58.25982
Skagerrak	10.39	58.205	10.39_58.205
Bothnian Sea	18.3	62.55	18.3_62.55
Skagerrak	11.12067	58.08467	11.12067_58.08467
Skagerrak	10.59333	57.83	10.59333_57.83
2	11.4533	58.2567	11.4533_58.2567
Bornholm Basin	16.61667	56.135	16.61667_56.135
1n	11.28567	58.56933	11.28567_58.56933
Western Gotland Basin	18.81233	58.49917	18.81233_58.49917
12n	16.9505	58.48867	16.9505_58.48867
Bornholm Basin	15.58333	55.33333	15.58333_55.33333
Kattegat	12.31233	56.84467	12.31233_56.84467
22	22.16667	65.57167	22.16667_65.57167
Kattegat	12.44617	56.63617	12.44617_56.63617
Bornholm Basin	15.25117	55.37433	15.25117_55.37433
North Sea	6.34167	57.36167	6.34167_57.36167
4	11.611	57.63633	11.611_57.63633
18	18.32867	62.87167	18.32867_62.87167
Skagerrak	10.95283	58.28167	10.95283_58.28167
Bornholm Basin	15.5	55.79167	15.5_55.79167
Kattegat	10.9575	56.22767	10.9575_56.22767
22	22.01183	65.48483	22.01183_65.48483
Bornholm Basin	14.38195	55.68337	14.38195_55.68337
Kattegat	11.775	56.85	11.775_56.85
20	19.80667	63.525	19.80667_63.525
Skagerrak	11.18333	58.21667	11.18333_58.21667
The Sound	12.8498	55.58843	12.8498_55.58843
Eastern Gotland Basin	19.5848	56.63367	19.5848_56.63367
Northern Baltic Proper	19.2	59.25	19.2_59.25
Kattegat	11.65762	57.17968	11.65762_57.17968
4	11.68817	57.63017	11.68817_57.63017
Kattegat	12.20983	56.942	12.20983_56.942
22	22.026	65.51033	22.026_65.51033
Arkona Basin	13.98333	55.05	13.98333_55.05
Bornholm Basin	15.46383	55.42	15.46383_55.42
Kattegat	11.6587	57.19247	11.6587_57.19247
North Sea	7.0	57.2	7.0_57.2
Arkona Basin	13.29733	55.01583	13.29733_55.01583
Eastern Gotland Basin	18.78333	56.35	18.78333_56.35
Western Gotland Basin	17.98328	58.0168	17.98328_58.0168
18	18.4275	62.957	18.4275_62.957
Kattegat	11.8091	56.63612	11.8091_56.63612
Skagerrak	10.9415	58.31583	10.9415_58.31583
Western Gotland Basin	17.98627	58.01708	17.98627_58.01708
Great Belt	11.04117	55.326	11.04117_55.326
12n	17.8685	58.88917	17.8685_58.88917
Bornholm Basin	15.05817	55.68367	15.05817_55.68367
Eastern Gotland Basin	19.58583	56.63367	19.58583_56.63367
Western Gotland Basin	18.65	58.6	18.65_58.6
Bothnian Sea	18.548	62.09983	18.548_62.09983
North Sea	5.61667	54.25	5.61667_54.25
Kattegat	11.33333	56.225	11.33333_56.225
7	13.80852	55.4181	13.80852_55.4181
22	21.11433	64.7865	21.11433_64.7865
Skagerrak	10.88717	58.24233	10.88717_58.24233
Kattegat	12.259	56.35033	12.259_56.35033
Eastern Gotland Basin	18.424	56.42883	18.424_56.42883
Eastern Gotland Basin	19.55833	57.88833	19.55833_57.88833
North Sea	6.55	58.01667	6.55_58.01667
Skagerrak	9.75767	57.74983	9.75767_57.74983
Kattegat	11.82167	56.59017	11.82167_56.59017
Kattegat	11.71808	56.90215	11.71808_56.90215
Western Gotland Basin	17.18433	56.92133	17.18433_56.92133
Skagerrak	9.861	58.08933	9.861_58.08933
Bothnian Sea	19.97067	62.586	19.97067_62.586
Eastern Gotland Basin	18.63333	55.31667	18.63333_55.31667
Kattegat	11.33333	57.75	11.33333_57.75
The Sound	12.92633	55.68333	12.92633_55.68333
Western Gotland Basin	17.61333	56.93333	17.61333_56.93333
Skagerrak	8.46667	57.31667	8.46667_57.31667
Skagerrak	10.24167	58.55833	10.24167_58.55833
Skagerrak	10.58333	58.46667	10.58333_58.46667
Skagerrak	10.99833	58.39583	10.99833_58.39583
The Sound	12.74833	55.86667	12.74833_55.86667
Bornholm Basin	14.4595	55.67467	14.4595_55.67467
Bothnian Sea	20.00567	60.85	20.00567_60.85
Arkona Basin	14.28358	55.10168	14.28358_55.10168
Bornholm Basin	14.86607	55.61838	14.86607_55.61838
Eastern Gotland Basin	18.459	56.33733	18.459_56.33733
Åland Sea	19.46667	59.96667	19.46667_59.96667
Western Gotland Basin	17.46717	57.33183	17.46717_57.33183
18	18.26433	62.86367	18.26433_62.86367
Skagerrak	10.8756	58.56013	10.8756_58.56013
Bornholm Basin	15.33383	55.38303	15.33383_55.38303
1n	11.39167	58.30667	11.39167_58.30667
North Sea	7.76167	56.08433	7.76167_56.08433
22	21.11867	64.6895	21.11867_64.6895
Northern Baltic Proper	20.32802	58.88142	20.32802_58.88142
7	13.81672	55.42043	13.81672_55.42043
12n	17.15433	58.69283	17.15433_58.69283
Bornholm Basin	16.3365	55.53967	16.3365_55.53967
Bothnian Bay	21.74783	64.30833	21.74783_64.30833
Western Gotland Basin	17.69677	56.71157	17.69677_56.71157
1n	11.7475	57.90867	11.7475_57.90867
Bornholm Basin	15.41667	54.6	15.41667_54.6
Bornholm Basin	15.41667	54.85	15.41667_54.85
Bornholm Basin	15.98408	55.25003	15.98408_55.25003
Skagerrak	9.83667	57.885	9.83667_57.885
13	16.18545	58.6292	16.18545_58.6292
Skagerrak	8.08167	57.525	8.08167_57.525
4	11.80917	57.55	11.80917_57.55
Kattegat	12.215	56.80867	12.215_56.80867
16	17.219	60.68867	17.219_60.68867
12s	16.46583	57.8325	16.46583_57.8325
Bornholm Basin	15.33387	55.38298	15.33387_55.38298
The Sound	12.84667	55.80833	12.84667_55.80833
North Sea	5.05	57.98333	5.05_57.98333
Skagerrak	10.9	58.4	10.9_58.4
12n	17.73017	58.934	17.73017_58.934
24	18.37233	59.39667	18.37233_59.39667
4	11.65333	57.58	11.65333_57.58
Eastern Gotland Basin	18.90017	57.07617	18.90017_57.07617
Skagerrak	8.21	57.69167	8.21_57.69167
18	18.342	63.033	18.342_63.033
Bothnian Sea	18.54733	62.09967	18.54733_62.09967
22	21.03983	64.84633	21.03983_64.84633
Bornholm Basin	16.5345	56.1165	16.5345_56.1165
2	11.90367	58.3425	11.90367_58.3425
Kattegat	11.44538	57.17923	11.44538_57.17923
Kattegat	10.75	57.63333	10.75_57.63333
Western Gotland Basin	17.66003	56.63477	17.66003_56.63477
7	14.54667	55.98667	14.54667_55.98667
Kattegat	11.66283	56.94617	11.66283_56.94617
5	12.8315	56.4715	12.8315_56.4715
Bothnian Bay	22.06583	64.7075	22.06583_64.7075
8	15.61	56.14333	15.61_56.14333
Bornholm Basin	16.37167	55.33667	16.37167_55.33667
Arkona Basin	13.65	55.21667	13.65_55.21667
Bornholm Basin	16.23333	55.48333	16.23333_55.48333
Eastern Gotland Basin	20.23333	58.0	20.23333_58.0
Eastern Gotland Basin	18.75833	57.22	18.75833_57.22
Bornholm Basin	15.9645	55.122	15.9645_55.122
Bornholm Basin	15.15417	55.768	15.15417_55.768
Arkona Basin	13.27	54.95	13.27_54.95
2	11.77333	58.3125	11.77333_58.3125
Kattegat	11.87883	56.78133	11.87883_56.78133
12n	18.5285	59.23533	18.5285_59.23533
22	22.37533	65.8075	22.37533_65.8075
Eastern Gotland Basin	18.12333	55.37333	18.12333_55.37333
Skagerrak	8.17833	57.53167	8.17833_57.53167
Western Gotland Basin	16.915	56.58	16.915_56.58
North Sea	5.36667	57.95	5.36667_57.95
20	19.80867	63.52467	19.80867_63.52467
Kattegat	11.80717	56.94533	11.80717_56.94533
Gdansk Basin	19.33387	54.83353	19.33387_54.83353
25	11.7955	57.66433	11.7955_57.66433
2	11.81667	58.26467	11.81667_58.26467
Kattegat	12.263	56.37883	12.263_56.37883
Skagerrak	9.17667	57.83333	9.17667_57.83333
Skagerrak	8.55667	57.41833	8.55667_57.41833
Bornholm Basin	15.33333	55.66667	15.33333_55.66667
Åland Sea	19.78333	59.76667	19.78333_59.76667
Bothnian Sea	18.23333	61.183	18.23333_61.183
Eastern Gotland Basin	18.40043	55.55542	18.40043_55.55542
Skagerrak	9.51383	57.69487	9.51383_57.69487
18	17.50667	62.33333	17.50667_62.33333
Eastern Gotland Basin	19.64617	57.77367	19.64617_57.77367
22	21.03917	64.856	21.03917_64.856
Skagerrak	10.57917	58.719	10.57917_58.719
Bornholm Basin	16.28333	55.05	16.28333_55.05
Bornholm Basin	14.99	54.78833	14.99_54.78833
20	20.26433	63.66183	20.26433_63.66183
Bothnian Sea	19.05	62.66667	19.05_62.66667
Eastern Gotland Basin	19.10667	57.28267	19.10667_57.28267
North Sea	-0.51667	58.01667	-0.51667_58.01667
18	17.94542	62.6443	17.94542_62.6443
Kattegat	11.914	56.35367	11.914_56.35367
Northern Baltic Proper	19.239	58.858	19.239_58.858
Northern Baltic Proper	19.802	58.43967	19.802_58.43967
Kattegat	12.44717	56.63683	12.44717_56.63683
12n	18.6475	59.456	18.6475_59.456
Eastern Gotland Basin	18.64783	55.91783	18.64783_55.91783
Eastern Gotland Basin	18.56667	55.81667	18.56667_55.81667
Western Gotland Basin	17.875	58.24667	17.875_58.24667
12n	17.497	58.8095	17.497_58.8095
Bothnian Sea	18.5525	62.10033	18.5525_62.10033
12n	18.68912	59.30773	18.68912_59.30773
Kattegat	10.81667	57.33333	10.81667_57.33333
Bothnian Bay	23.134	64.849	23.134_64.849
18	18.46617	62.94733	18.46617_62.94733
Great Belt	10.75	55.66667	10.75_55.66667
Bornholm Basin	16.5	56.1	16.5_56.1
Kattegat	12.55733	56.54533	12.55733_56.54533
Bothnian Sea	18.75	62.83333	18.75_62.83333
Skagerrak	10.35	57.76667	10.35_57.76667
Bornholm Basin	16.457	55.78933	16.457_55.78933
Western Gotland Basin	17.89333	57.08083	17.89333_57.08083
Kattegat	11.583	57.3175	11.583_57.3175
1n	11.21567	58.78	11.21567_58.78
1n	11.11333	59.00667	11.11333_59.00667
Kattegat	11.90833	56.4	11.90833_56.4
22	22.36667	65.72562	22.36667_65.72562
1n	11.66667	57.90117	11.66667_57.90117
18	18.61533	63.17233	18.61533_63.17233
Bothnian Bay	22.06867	64.7075	22.06867_64.7075
Bothnian Bay	21.33333	63.99667	21.33333_63.99667
Skagerrak	9.4	57.973	9.4_57.973
Great Belt	10.871	55.8595	10.871_55.8595
Bornholm Basin	15.95	55.7	15.95_55.7
Bornholm Basin	16.385	55.59	16.385_55.59
Kattegat	11.51667	57.55	11.51667_57.55
5	12.58883	56.474	12.58883_56.474
Arkona Basin	12.7591	55.5541	12.7591_55.5541
Kattegat	12.35283	56.70583	12.35283_56.70583
Åland Sea	19.0	60.03333	19.0_60.03333
Bothnian Bay	21.65	64.2	21.65_64.2
North Sea	4.91667	56.53333	4.91667_56.53333
Western Gotland Basin	17.868	57.06467	17.868_57.06467
Skagerrak	11.29117	57.86658	11.29117_57.86658
Bornholm Basin	14.53333	55.65	14.53333_55.65
Bornholm Basin	14.53333	55.9	14.53333_55.9
Western Gotland Basin	17.09333	57.61	17.09333_57.61
5	12.52833	56.37	12.52833_56.37
The Sound	12.74873	55.86673	12.74873_55.86673
Gulf of Finland	24.8383	59.83833	24.8383_59.83833
Skagerrak	10.84653	58.29633	10.84653_58.29633
Skagerrak	9.805	58.03833	9.805_58.03833
Bornholm Basin	16.535	56.11583	16.535_56.11583
Skagerrak	10.36667	57.775	10.36667_57.775
Eastern Gotland Basin	19.15783	57.3365	19.15783_57.3365
Eastern Gotland Basin	19.54267	57.8195	19.54267_57.8195
5	12.8775	56.54867	12.8775_56.54867
Western Gotland Basin	18.00667	58.01667	18.00667_58.01667
Skagerrak	10.33167	58.00667	10.33167_58.00667
Bornholm Basin	14.86583	55.61767	14.86583_55.61767
Bornholm Basin	16.51663	55.27502	16.51663_55.27502
Western Gotland Basin	18.23652	58.59378	18.23652_58.59378
Kattegat	12.517	56.54683	12.517_56.54683
Bornholm Basin	15.99067	55.25	15.99067_55.25
Skagerrak	8.55933	57.45167	8.55933_57.45167
Bothnian Sea	19.96667	61.1	19.96667_61.1
Western Gotland Basin	18.118	57.75967	18.118_57.75967
Kattegat	11.85667	57.14667	11.85667_57.14667
Bornholm Basin	15.23333	55.33333	15.23333_55.33333
Western Gotland Basin	18.54033	58.5955	18.54033_58.5955
2	11.43333	58.26033	11.43333_58.26033
Kattegat	12.25983	56.36817	12.25983_56.36817
19	18.825	63.11833	18.825_63.11833
18	18.41633	62.974	18.41633_62.974
11	18.1855	57.38867	18.1855_57.38867
12n	17.42767	58.77183	17.42767_58.77183
Skagerrak	11.29203	57.86668	11.29203_57.86668
22	21.448	65.29667	21.448_65.29667
22	22.25341	65.67253	22.25341_65.67253
Northern Baltic Proper	22.89695	59.48363	22.89695_59.48363
8	16.30617	56.65133	16.30617_56.65133
Bothnian Sea	19.53633	62.40233	19.53633_62.40233
24	18.47567	59.33467	18.47567_59.33467
Bornholm Basin	14.88333	55.6	14.88333_55.6
18	17.8983	62.81225	17.8983_62.81225
Bornholm Basin	16.53672	56.11623	16.53672_56.11623
North Sea	3.36667	59.33333	3.36667_59.33333
Eastern Gotland Basin	19.535	57.80333	19.535_57.80333
Kattegat	11.44167	57.19333	11.44167_57.19333
12s	16.704	58.41567	16.704_58.41567
Arkona Basin	13.63333	55.3	13.63333_55.3
3	11.29167	58.1	11.29167_58.1
Northern Baltic Proper	19.91667	59.5	19.91667_59.5
12n	18.90052	59.74158	18.90052_59.74158
Eastern Gotland Basin	19.1185	57.28267	19.1185_57.28267
Kattegat	11.66	57.185	11.66_57.185
Skagerrak	9.76667	57.9	9.76667_57.9
2	11.8835	58.33433	11.8835_58.33433
5	12.63217	56.50233	12.63217_56.50233
20	19.82167	63.49967	19.82167_63.49967
Western Gotland Basin	17.73333	57.56667	17.73333_57.56667
Bornholm Basin	14.86893	55.6171	14.86893_55.6171
Western Gotland Basin	17.50333	57.52333	17.50333_57.52333
Bothnian Bay	22.06883	64.70783	22.06883_64.70783
22	21.506	65.33017	21.506_65.33017
Bornholm Basin	15.98033	55.24817	15.98033_55.24817
Kattegat	11.96	56.835	11.96_56.835
Bothnian Sea	18.26667	62.26667	18.26667_62.26667
Northern Baltic Proper	20.70617	59.09783	20.70617_59.09783
Bothnian Bay	22.1	64.35	22.1_64.35
Skagerrak	11.02788	58.33868	11.02788_58.33868
Eastern Gotland Basin	18.9545	57.12417	18.9545_57.12417
Kattegat	11.83217	56.63583	11.83217_56.63583
Skagerrak	10.09167	58.2	10.09167_58.2
Bornholm Basin	15.1015	55.688	15.1015_55.688
5	12.55667	56.36	12.55667_56.36
2	11.6	58.36667	11.6_58.36667
Skagerrak	9.76667	58.05	9.76667_58.05
Skagerrak	9.855	57.885	9.855_57.885
3	11.40783	58.0985	11.40783_58.0985
Skagerrak	9.74333	57.74	9.74333_57.74
Kattegat	11.6568	57.19242	11.6568_57.19242
Bothnian Sea	19.63583	63.20833	19.63583_63.20833
7	13.81345	55.42022	13.81345_55.42022
Western Gotland Basin	19.19788	58.25112	19.19788_58.25112
Northern Baltic Proper	21.74682	59.18332	21.74682_59.18332
Bornholm Basin	16.53603	56.11633	16.53603_56.11633
Kattegat	11.08433	57.58033	11.08433_57.58033
Eastern Gotland Basin	17.73183	56.13017	17.73183_56.13017
12n	18.65833	59.56833	18.65833_59.56833
Eastern Gotland Basin	18.58333	55.66667	18.58333_55.66667
10	18.75	57.23333	18.75_57.23333
5	12.60433	56.34183	12.60433_56.34183
16	18.49058	60.20748	18.49058_60.20748
2	11.43333	58.25835	11.43333_58.25835
Eastern Gotland Basin	18.69417	56.47967	18.69417_56.47967
Bornholm Basin	14.8675	55.617	14.8675_55.617
20	19.80883	63.52617	19.80883_63.52617
Bornholm Basin	14.82333	55.89333	14.82333_55.89333
Skagerrak	9.88783	57.98783	9.88783_57.98783
Bothnian Bay	21.35833	63.83167	21.35833_63.83167
Western Gotland Basin	17.36817	56.83667	17.36817_56.83667
Eastern Gotland Basin	18.15467	56.11367	18.15467_56.11367
Arkona Basin	14.2	55.22833	14.2_55.22833
Kattegat	11.42667	57.345	11.42667_57.345
Kattegat	12.3105	56.39533	12.3105_56.39533
7	13.81323	55.42165	13.81323_55.42165
Bornholm Basin	14.86737	55.61742	14.86737_55.61742
Kattegat	12.19667	57.04667	12.19667_57.04667
Western Gotland Basin	17.03333	57.61667	17.03333_57.61667
12n	17.58383	58.84517	17.58383_58.84517
Kattegat	12.21267	56.94017	12.21267_56.94017
Eastern Gotland Basin	18.44267	55.16317	18.44267_55.16317
Bothnian Sea	18.546	62.10117	18.546_62.10117
Skagerrak	9.10133	57.85433	9.10133_57.85433
Eastern Gotland Basin	19.88007	57.99928	19.88007_57.99928
Skagerrak	10.86	57.79333	10.86_57.79333
Bothnian Sea	18.54933	62.0995	18.54933_62.0995
Eastern Gotland Basin	20.01667	57.31667	20.01667_57.31667
2	11.88383	58.33467	11.88383_58.33467
Skagerrak	10.89867	58.204	10.89867_58.204
Western Gotland Basin	18.23552	58.59398	18.23552_58.59398
North Sea	-0.33333	58.15	-0.33333_58.15
Eastern Gotland Basin	19.4525	58.05383	19.4525_58.05383
Kattegat	11.43333	56.63333	11.43333_56.63333
Skagerrak	11.19067	58.22483	11.19067_58.22483
Bothnian Sea	18.54967	62.1	18.54967_62.1
Bornholm Basin	15.90833	55.79833	15.90833_55.79833
Skagerrak	11.065	58.11667	11.065_58.11667
Western Gotland Basin	17.68333	57.13333	17.68333_57.13333
Eastern Gotland Basin	19.48287	57.75462	19.48287_57.75462
Skagerrak	9.98333	57.86667	9.98333_57.86667
Skagerrak	10.97683	58.29133	10.97683_58.29133
3	11.23833	58.25	11.23833_58.25
14	16.83333	57.76167	16.83333_57.76167
Bornholm Basin	14.68742	55.6399	14.68742_55.6399
Western Gotland Basin	17.38333	57.81667	17.38333_57.81667
20	19.814	63.49967	19.814_63.49967
23	24.10272	65.6598	24.10272_65.6598
Eastern Gotland Basin	18.23333	55.53333	18.23333_55.53333
22	22.246	65.652	22.246_65.652
10	18.91088	57.68525	18.91088_57.68525
Bornholm Basin	14.96667	55.68333	14.96667_55.68333
Bothnian Sea	18.5485	62.1	18.5485_62.1
18	18.8975	63.20233	18.8975_63.20233
Western Gotland Basin	18.41667	58.7	18.41667_58.7
Skagerrak	10.38333	58.15	10.38333_58.15
15	19.21532	59.54202	19.21532_59.54202
Kattegat	12.21197	56.93997	12.21197_56.93997
22	21.6823	65.41538	21.6823_65.41538
North Sea	8.06667	56.70833	8.06667_56.70833
Kattegat	11.66033	56.94767	11.66033_56.94767
Kattegat	11.34033	56.2255	11.34033_56.2255
Bornholm Basin	15.23533	55.78817	15.23533_55.78817
2	11.41667	59.03333	11.41667_59.03333
9	16.65	56.88667	16.65_56.88667
Skagerrak	10.4	57.88333	10.4_57.88333
Bornholm Basin	17.10667	55.92667	17.10667_55.92667
12n	18.604	59.19083	18.604_59.19083
Kattegat	11.34167	57.58333	11.34167_57.58333
Western Gotland Basin	17.43833	57.11517	17.43833_57.11517
20	20.41996	63.74509	20.41996_63.74509
18	18.33017	63.05167	18.33017_63.05167
22	22.37517	65.80733	22.37517_65.80733
24	18.3355	59.3765	18.3355_59.3765
7	13.80928	55.41907	13.80928_55.41907
5	12.72667	56.58333	12.72667_56.58333
Bornholm Basin	15.66667	55.025	15.66667_55.025
22	22.36717	65.80683	22.36717_65.80683
Eastern Gotland Basin	19.4085	57.67467	19.4085_57.67467
Kattegat	11.65933	57.18433	11.65933_57.18433
19	17.66333	62.30833	17.66333_62.30833
12n	18.93395	59.77763	18.93395_59.77763
Western Gotland Basin	17.90333	57.095	17.90333_57.095
Skagerrak	10.86667	58.13333	10.86667_58.13333
Skagerrak	10.86667	58.88333	10.86667_58.88333
Skagerrak	10.84633	58.51283	10.84633_58.51283
20	19.81667	63.5015	19.81667_63.5015
Western Gotland Basin	17.3	58.04243	17.3_58.04243
Eastern Gotland Basin	19.3145	58.3055	19.3145_58.3055
Western Gotland Basin	16.99517	56.72717	16.99517_56.72717
Bothnian Sea	17.945	61.20667	17.945_61.20667
Gulf of Riga	23.25	57.3	23.25_57.3
Western Gotland Basin	17.88383	56.22433	17.88383_56.22433
18	18.437	63.026	18.437_63.026
2	11.71827	58.08822	11.71827_58.08822
Skagerrak	9.84767	58.0805	9.84767_58.0805
5	12.61667	56.56667	12.61667_56.56667
Kattegat	11.964	56.34583	11.964_56.34583
Western Gotland Basin	17.47333	57.52167	17.47333_57.52167
Bothnian Sea	18.5485	62.1005	18.5485_62.1005
Skagerrak	10.94252	58.3145	10.94252_58.3145
4	11.98733	57.25083	11.98733_57.25083
Skagerrak	10.51167	57.83333	10.51167_57.83333
Bornholm Basin	14.86917	55.61808	14.86917_55.61808
Kattegat	11.41667	57.46833	11.41667_57.46833
