depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p	doxy:mean	doxy:std	doxy:count	doxy:max	doxy:min	doxy:95p	doxy:5p	din:mean	din:std	din:count	din:max	din:min	din:95p	din:5p	salt:mean	salt:std	salt:count	salt:max	salt:min	salt:95p	salt:5p	temp:mean	temp:std	temp:count	temp:max	temp:min	temp:95p	temp:5p
0.00	1	21																																																																																																																																																																								
0.00	2	21																																																																																																																																																																								
0.00	3	21																																																																																																																																																																								
0.00	4	21																																																																																																																																																																								
0.00	5	21																													5.62	2.15	20.00	9.80	2.20			2.55	0.69	17.00	3.80	2.00										0.11	0.09	22.00	0.42	0.06	0.28	0.06															3.21	1.22	20.00	4.86	0.36																																																				17.57	5.69	22.00	40.00	11.40	21.33	12.12	0.32	0.17	22.00	0.87	0.10	0.55	0.13															2.78	0.72	22.00	4.40	2.00	3.79	2.00	5.62	2.15	20.00	9.80	2.20		
0.00	6	21	5.88	1.23	18.00	8.80	4.00										2.61	0.55	17.00	3.61	2.00										11.25	2.52	16.00	16.40	8.20			2.92	0.67	21.00	4.10	2.00										0.12	0.18	30.00	1.03	0.03																	1.32	0.95	30.00	3.57	0.36			0.52	0.92	18.00	3.35	0.20																																													15.66	5.21	30.00	37.85	6.85			0.34	0.28	30.00	1.32	0.06										1.30	1.44	18.00	6.13	0.36			2.92	0.61	31.00	4.10	2.00	3.85	2.00	10.70	2.07	29.00	16.40	7.70		
0.00	7	21	5.63	1.23	26.00	8.00	3.20																															2.87	0.47	24.00	3.90	2.00										0.07	0.02	29.00	0.13	0.06																	0.73	0.59	29.00	2.86	0.36			0.23	0.08	26.00	0.60	0.20																																													14.47	3.06	30.00	20.00	3.57	18.98	10.18	0.28	0.12	30.00	0.68	0.06	0.44	0.14								0.73	0.57	26.00	2.86	0.36			2.92	0.45	29.00	3.90	2.00			15.46	1.92	28.00	19.30	12.50		
0.00	8	21	6.01	1.06	26.00	8.00	4.20																								16.20	1.83	20.00	19.50	12.40			3.13	0.57	30.00	4.00	2.00										0.07	0.01	38.00	0.10	0.06																	0.95	0.69	39.00	3.14	0.36	2.03	0.36	0.35	0.26	28.00	1.30	0.20																																													14.92	2.66	39.00	22.90	8.60	19.28	11.33	0.28	0.09	38.00	0.48	0.06										1.01	0.75	28.00	2.23	0.36			3.03	0.61	39.00	4.00	1.60	3.63	2.00	15.76	1.73	35.00	19.50	12.40		
0.00	9	21																																																																																																																																																																								
0.00	10	21																																																																																																																																																																								
0.00	11	21																																																																																																																																																																								
5.00	2	21																																																																																																																																																																								
5.00	3	21																																																																																																																																																																								
5.00	5	21																																																																																																																																																																								
5.00	6	21																																																																																																																																																																								
5.00	7	21																																																																																																																																																																								
5.00	8	21																																																																																																																																																																								
5.00	10	21																																																																																																																																																																								
5.00	11	21																																																																																																																																																																								
10.00	2	21																																																																																																																																																																								
10.00	3	21																																																																																																																																																																								
10.00	5	21																																																																																																																																																																								
10.00	6	21																																																																																																																																																																								
10.00	7	21																																																																																																																																																																								
10.00	8	21																																																																																																																																																																								
10.00	10	21																																																																																																																																																																								
