depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p	doxy:mean	doxy:std	doxy:count	doxy:max	doxy:min	doxy:95p	doxy:5p	din:mean	din:std	din:count	din:max	din:min	din:95p	din:5p	salt:mean	salt:std	salt:count	salt:max	salt:min	salt:95p	salt:5p	temp:mean	temp:std	temp:count	temp:max	temp:min	temp:95p	temp:5p
0.00	1	7	6.44	3.05	80.00	16.50	1.20			3.20	1.49	71.00	6.51	-0.50			8.16	1.40	67.00	12.79	6.06										3.38	1.48	54.00	6.51	0.30			8.26	1.55	63.00	12.80	6.18			8.48	0.67	62.00	9.49	5.84			0.65	0.17	92.00	1.35	0.33	0.94	0.42	0.42	0.27	79.00	1.15	0.07			7.76	8.23	79.00	47.57	2.00			9.80	8.80	63.00	34.98	2.16			1.43	2.43	91.00	14.99	0.05			15.98	6.81	92.00	42.86	6.10	30.16	8.06	1.07	0.84	72.00	5.90	0.20																															28.45	12.40	92.00	78.57	14.00	51.44	18.00	1.03	0.26	91.00	2.30	0.46			8.48	0.67	62.00	9.49	5.84			10.76	11.20	91.00	56.43	2.16			8.22	1.48	91.00	12.80	6.06			3.26	1.46	91.00	6.51	-0.50		
0.00	2	7	6.73	3.31	59.00	18.00	2.50			2.40	1.40	44.00	5.65	0.10			9.01	2.53	41.00	20.13	6.57										2.36	1.29	33.00	4.43	-0.50			8.69	2.13	39.00	18.07	6.00			8.80	0.57	34.00	9.76	7.20			0.66	0.17	63.00	1.08	0.31	0.95	0.42	0.38	0.20	57.00	0.96	0.07			8.52	13.38	57.00	89.00	1.63			6.53	4.90	33.00	30.00	1.88			0.92	1.32	63.00	6.21	0.05	3.89	0.09	16.48	7.22	63.00	43.00	7.20	31.64	9.30	1.04	0.90	57.00	6.20	0.24																															27.09	15.20	62.00	120.00	16.00			1.09	0.25	63.00	2.13	0.58	1.42	0.80	8.80	0.57	34.00	9.76	7.20			9.66	13.68	63.00	92.36	2.03	33.19	3.42	8.63	2.16	63.00	19.10	6.00	11.93	6.80	2.41	1.39	63.00	5.65	-0.50	4.97	0.40
0.00	3	7	6.88	2.37	77.00	14.20	1.40			2.77	1.44	64.00	5.45	-0.40			8.04	1.45	61.00	12.96	6.40										2.70	1.49	48.00	5.00	-0.15			7.93	1.35	56.00	12.97	6.33			9.23	0.65	67.00	11.20	7.60			0.53	0.26	79.00	1.70	0.16	0.93	0.19	0.21	0.10	66.00	0.55	0.03			4.43	5.20	65.00	28.23	0.10			6.81	8.21	60.00	45.68	0.10			0.76	1.58	77.00	8.85	0.05			12.80	4.83	79.00	23.70	1.00	20.64	4.54	2.19	2.29	61.00	11.00	0.30																															25.60	9.38	79.00	62.10	10.70	42.24	17.99	0.93	0.25	79.00	1.90	0.48	1.31	0.60	9.23	0.65	67.00	11.20	7.60			6.65	8.55	77.00	54.53	0.10			8.06	1.43	78.00	12.97	6.40			2.77	1.46	79.00	5.45	-0.40	4.85	0.24
0.00	4	7	6.91	2.12	53.00	13.00	2.00	11.38	5.03	5.75	1.35	39.00	8.51	2.43			8.15	1.70	36.00	16.73	6.55										5.47	1.31	30.00	8.35	2.43			7.88	0.95	36.00	12.14	6.80			8.67	0.86	42.00	10.48	6.30			0.25	0.13	53.00	0.59	0.05	0.49	0.10	0.05	0.02	45.00	0.10	0.02			0.34	0.50	30.00	2.52	0.10			0.30	0.48	36.00	2.56	0.07			0.34	0.49	51.00	3.10	0.05			4.98	3.61	53.00	16.00	0.20	12.03	0.82	1.56	1.49	45.00	6.80	0.10																															18.39	2.18	53.00	22.90	14.25	22.24	15.00	0.64	0.17	53.00	0.98	0.30	0.90	0.41	8.67	0.86	42.00	10.48	6.30			0.51	0.60	51.00	3.60	0.10			8.01	1.29	53.00	15.20	6.55	9.69	6.88	5.65	1.31	52.00	8.51	2.43		
0.00	5	7	7.36	2.84	88.00	14.20	2.00			10.74	1.84	70.00	15.78	7.49			7.62	1.11	62.00	11.96	6.47										10.38	2.41	58.00	16.00	5.20			7.53	0.94	63.00	11.74	6.46			7.89	0.51	79.00	9.10	5.96			0.20	0.12	91.00	0.48	0.04	0.45	0.06	0.05	0.03	73.00	0.24	0.02			0.98	4.08	42.00	26.62	0.07			1.27	3.87	71.00	26.86	0.10			0.43	0.74	91.00	4.07	0.05	2.15	0.05	5.67	3.82	91.00	18.10	0.20	13.50	0.70	1.50	1.77	73.00	7.60	0.10																															21.41	8.17	91.00	65.00	13.45	36.20	15.00	0.65	0.33	91.00	2.87	0.13	1.08	0.33	7.89	0.51	79.00	9.10	5.96			1.44	3.85	91.00	27.52	0.10	6.25	0.10	7.59	1.00	91.00	11.96	6.47	9.53	6.60	10.47	2.11	91.00	15.91	5.20	13.96	7.35
0.00	6	7	7.19	2.25	53.00	14.20	4.90	12.40	5.00	14.97	2.12	36.00	18.40	9.79			8.38	1.96	34.00	18.35	6.81										14.68	2.33	33.00	19.21	9.75			7.99	1.85	37.00	18.33	6.71			6.95	0.61	42.00	8.16	5.50			0.24	0.13	53.00	0.62	0.05	0.46	0.08	0.05	0.03	45.00	0.14	0.02			0.18	0.07	23.00	0.36	0.07			0.14	0.07	34.00	0.40	0.07			0.25	0.21	53.00	0.90	0.05	0.70	0.05	6.77	2.49	53.00	13.90	2.80	11.38	3.48	0.85	0.55	46.00	2.50	0.10																															18.50	2.42	53.00	23.60	12.00	22.34	14.46	0.65	0.22	53.00	1.26	0.30	1.04	0.33	6.95	0.61	42.00	8.16	5.50			0.36	0.26	52.00	1.15	0.10			8.10	1.65	53.00	18.35	6.71	9.63	7.02	15.04	2.24	53.00	19.21	9.79	18.08	11.68
0.00	7	7	6.67	2.38	101.00	14.20	2.80	11.00	3.20	17.00	2.95	78.00	22.44	6.31			7.73	0.92	72.00	12.04	6.50										16.93	3.12	64.00	22.18	6.30			7.53	0.71	70.00	10.52	6.47			6.79	0.44	69.00	8.21	5.89			0.29	0.21	100.00	1.40	0.06			0.06	0.04	87.00	0.40	0.02			0.36	1.26	47.00	8.80	0.07			0.17	0.23	67.00	1.93	0.07			0.35	0.49	100.00	3.14	0.03			8.51	3.36	100.00	22.00	2.70			2.61	3.98	80.00	31.00	0.20																															21.48	5.77	100.00	48.40	13.00			0.83	0.39	100.00	2.80	0.33			6.79	0.44	69.00	8.21	5.89			0.58	1.12	99.00	9.86	0.08			7.67	0.85	100.00	12.04	6.50			16.85	2.89	101.00	22.44	6.31	20.71	12.26
0.00	8	7	6.27	2.21	82.00	12.20	2.20			18.22	2.28	51.00	23.63	12.87			8.42	1.50	44.00	13.32	6.81										18.19	2.74	57.00	22.50	11.63			8.32	1.31	63.00	12.33	6.50			6.49	0.59	51.00	8.20	5.40			0.38	0.43	71.00	2.55	0.06			0.07	0.08	66.00	0.64	0.02			0.35	0.70	44.00	4.54	0.07			0.14	0.10	38.00	0.65	0.07			0.40	0.62	71.00	3.50	0.05			10.31	4.47	71.00	33.93	3.70			2.44	2.69	66.00	18.10	0.27																															20.92	4.52	71.00	38.00	8.60			0.96	0.62	71.00	3.87	0.38			6.55	0.62	54.00	8.20	5.40			0.65	0.96	70.00	5.21	0.10			8.38	1.41	84.00	13.32	6.50			18.39	2.54	85.00	23.63	11.63	21.94	12.90
0.00	9	7	5.27	2.50	154.00	13.00	1.00			14.99	2.48	91.00	22.20	6.74			7.70	1.00	89.00	12.34	6.78										13.91	2.25	122.00	18.67	6.80			8.35	1.28	129.00	10.40	6.78			6.92	0.82	124.00	9.00	4.00			0.46	0.34	109.00	2.51	0.06			0.07	0.05	86.00	0.31	0.02			1.18	4.16	54.00	27.14	0.07			0.85	3.27	91.00	27.45	0.07			0.53	0.93	109.00	7.54	0.05			10.47	4.20	109.00	31.70	3.50			3.10	4.89	83.00	37.10	0.40																															23.47	7.21	109.00	54.00	14.29			1.01	0.49	109.00	3.36	0.42			6.92	0.82	124.00	9.00	4.00			1.24	3.44	109.00	30.39	0.10			8.30	1.29	158.00	12.34	6.78			14.25	2.47	158.00	22.20	6.74		
0.00	10	7	6.04	2.39	60.00	14.20	1.20			11.25	1.81	38.00	13.90	6.80			8.63	1.27	34.00	13.04	7.17										11.24	1.52	44.00	13.80	7.99			8.85	2.21	46.00	20.20	6.71			6.93	0.62	52.00	8.22	5.60			0.39	0.15	54.00	0.80	0.16			0.09	0.06	45.00	0.30	0.03			0.44	0.59	44.00	3.00	0.10			0.73	1.04	34.00	4.90	0.10			0.50	0.46	53.00	2.10	0.05			10.39	3.10	54.00	16.07	3.70			1.95	0.81	48.00	4.20	0.50																															20.16	3.14	54.00	27.10	10.00			0.84	0.20	54.00	1.23	0.43			6.93	0.62	52.00	8.22	5.60			1.04	1.14	53.00	5.80	0.10			8.82	1.99	60.00	20.20	6.71			11.31	1.62	62.00	13.90	6.80	13.54	8.61
