depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p	doxy:mean	doxy:std	doxy:count	doxy:max	doxy:min	doxy:95p	doxy:5p	din:mean	din:std	din:count	din:max	din:min	din:95p	din:5p	salt:mean	salt:std	salt:count	salt:max	salt:min	salt:95p	salt:5p	temp:mean	temp:std	temp:count	temp:max	temp:min	temp:95p	temp:5p
0.00	1	3	6.90	2.69	53.00	16.00	3.80			3.67	1.69	39.00	8.05	-0.17			25.86	3.38	33.00	32.08	19.64										3.04	1.77	50.00	7.26	-0.79			26.70	3.37	55.00	32.95	19.43			7.70	0.43	66.00	8.87	6.70			0.53	0.11	67.00	0.95	0.32			0.35	0.30	67.00	1.50	0.03			6.96	2.67	67.00	13.27	0.60			6.89	2.76	44.00	13.66	1.42			0.96	0.52	66.00	2.69	0.08			8.54	3.00	67.00	16.57	1.75			1.28	1.36	65.00	7.80	0.20																															20.31	4.05	67.00	31.75	11.40			0.83	0.15	67.00	1.30	0.45			7.66	0.45	70.00	8.87	6.58			8.27	3.00	66.00	15.48	1.74			26.52	3.39	69.00	32.95	18.11			3.37	1.86	70.00	8.05	-0.79		
0.00	2	3	6.79	2.97	63.00	15.00	3.00			2.22	1.92	41.00	6.35	-1.22			25.18	3.47	36.00	33.80	18.78										2.07	1.79	60.00	5.75	-1.34			26.50	3.54	67.00	34.38	19.73			8.03	0.66	75.00	9.22	6.15			0.52	0.17	76.00	0.75	0.02			0.32	0.28	76.00	1.64	0.02			8.45	3.47	74.00	15.51	0.08			8.53	3.85	49.00	16.41	0.39			0.83	0.75	75.00	5.75	0.05			9.15	4.33	75.00	18.20	0.10			2.46	4.20	69.00	21.95	0.10																															21.68	4.50	74.00	33.62	11.70			0.83	0.14	74.00	1.30	0.50			8.03	0.66	75.00	9.22	6.15			9.39	4.06	75.00	18.07	0.16			26.32	3.64	79.00	34.38	18.78			2.16	1.89	79.00	6.35	-1.34		
0.00	3	3	6.13	2.24	64.00	12.00	2.90			2.12	1.57	35.00	4.46	-0.80			22.82	3.78	32.00	29.77	14.31										1.98	1.53	52.00	4.52	-1.20			24.97	3.65	54.00	30.74	15.53			8.54	0.80	66.00	10.66	7.38			0.27	0.19	66.00	0.68	0.03			0.17	0.13	66.00	0.48	0.02			6.10	4.23	61.00	13.86	0.10			5.39	4.58	42.00	13.78	0.09			0.53	0.56	66.00	2.75	0.05			5.40	4.27	66.00	14.35	0.10			5.75	5.36	66.00	30.00	0.35																															21.28	5.01	65.00	33.55	12.10			0.74	0.17	64.00	1.32	0.38			8.54	0.80	66.00	10.66	7.38			6.30	4.66	66.00	15.52	0.10			24.37	3.83	68.00	30.74	14.31	30.21	17.37	2.05	1.52	68.00	4.52	-1.20	4.04	-0.65
0.00	4	3	7.97	3.02	64.00	15.00	2.50			5.00	1.74	37.00	8.35	1.23			23.01	4.66	33.00	30.97	12.18										4.55	1.29	53.00	6.92	1.39			23.14	4.58	55.00	31.77	13.33			8.13	0.49	66.00	9.96	7.20			0.10	0.07	69.00	0.30	0.02			0.11	0.08	69.00	0.45	0.02			3.23	3.49	65.00	15.10	0.03			2.79	3.12	44.00	11.45	0.10			0.63	0.46	68.00	2.00	0.12			2.52	2.23	67.00	10.30	0.10			2.52	2.31	67.00	11.65	0.40																															19.88	6.14	66.00	37.00	11.00			0.56	0.16	66.00	1.06	0.25			8.13	0.49	66.00	9.96	7.20			3.78	3.70	68.00	15.71	0.10			23.27	4.40	70.00	31.77	12.18			4.77	1.47	70.00	8.35	1.23		
0.00	5	3	7.33	2.55	72.00	14.00	3.00			9.65	1.62	40.00	14.31	7.13			21.28	3.46	36.00	27.96	13.80										9.38	1.75	60.00	14.16	6.85			21.45	4.08	61.00	30.70	13.38			7.45	0.31	71.00	8.29	6.62			0.07	0.06	76.00	0.47	0.02	0.12	0.02	0.08	0.06	75.00	0.30	0.02			2.65	3.28	67.00	14.24	0.02			2.17	2.86	49.00	14.46	0.10			0.54	0.49	72.00	2.62	0.05			3.51	3.84	74.00	16.60	0.10			2.38	2.22	75.00	19.50	0.84																															19.69	8.68	72.00	81.55	9.95			0.48	0.16	72.00	1.08	0.20			7.45	0.31	71.00	8.29	6.62			2.84	3.47	72.00	15.47	0.10			21.52	4.00	76.00	30.70	13.38	27.97	15.05	9.33	1.62	76.00	14.31	6.85	12.28	7.26
0.00	6	3	6.55	2.19	69.00	12.00	2.50			15.00	1.81	35.00	20.36	12.80			21.13	3.34	32.00	30.25	13.53										13.94	1.88	57.00	18.98	10.20			21.68	4.25	55.00	29.65	9.65			6.82	0.37	66.00	7.85	5.95			0.06	0.03	72.00	0.20	0.02			0.06	0.04	72.00	0.18	0.02			1.13	1.61	56.00	8.35	0.02			0.73	1.09	47.00	4.58	0.10			0.32	0.25	72.00	1.25	0.05			1.91	3.64	70.00	24.10	0.10			2.38	1.50	73.00	6.90	0.35																															18.04	5.11	71.00	46.80	11.25			0.46	0.14	71.00	0.83	0.17			6.82	0.37	66.00	7.85	5.95			1.20	1.58	72.00	8.65	0.10			21.57	3.98	73.00	30.25	9.65			14.25	2.02	74.00	20.36	10.20	17.95	11.26
0.00	7	3	7.80	2.69	68.00	16.00	3.50			17.14	1.22	40.00	20.52	15.12			22.43	3.24	38.00	30.67	14.81										16.87	1.49	55.00	20.55	14.10			23.25	3.20	49.00	29.46	15.26			6.21	0.29	64.00	7.00	5.39			0.05	0.04	70.00	0.27	0.02			0.05	0.04	70.00	0.21	0.02			0.82	1.33	47.00	5.76	0.02			0.53	1.05	47.00	4.68	0.10			0.36	0.39	70.00	2.40	0.04			0.95	1.45	68.00	7.95	0.10			1.80	1.10	71.00	5.45	0.29	4.30	0.60																													16.34	3.09	68.00	26.60	9.80			0.45	0.12	68.00	0.75	0.08			6.21	0.29	64.00	7.00	5.39			0.91	1.34	70.00	7.13	0.10			23.17	3.30	71.00	30.67	14.81	28.51	17.89	16.84	1.41	71.00	20.55	14.10	19.73	15.11
0.00	8	3	7.87	2.14	71.00	13.00	4.00			18.77	1.56	45.00	21.97	14.86			22.55	3.35	43.00	31.52	17.55										18.99	1.68	61.00	21.90	14.72			22.92	3.39	57.00	31.52	16.25			6.03	0.38	71.00	7.11	5.24			0.06	0.04	79.00	0.23	0.02			0.04	0.03	78.00	0.17	0.02			0.31	0.54	54.00	2.99	0.02			0.26	0.43	50.00	2.29	0.10			0.43	0.89	77.00	7.50	0.03			0.84	0.86	76.00	5.85	0.10			2.17	1.74	78.00	11.65	0.40																															17.92	7.47	72.00	73.00	9.90			0.48	0.13	71.00	0.88	0.21			6.01	0.38	76.00	7.11	5.24			0.65	1.13	77.00	8.86	0.10			22.91	3.33	82.00	31.52	16.25			18.85	1.65	82.00	21.97	14.86		
0.00	9	3	8.23	2.87	74.00	19.00	3.00			16.67	1.06	56.00	18.57	14.54			23.95	3.49	53.00	31.62	16.62										16.47	1.87	59.00	20.40	10.80			24.23	3.75	60.00	33.70	17.88			6.00	0.39	74.00	6.87	4.88			0.07	0.06	78.00	0.55	0.02			0.05	0.07	77.00	0.55	0.02			0.43	0.89	52.00	5.11	0.02			0.27	0.47	50.00	2.75	0.10			0.32	0.27	76.00	1.27	0.02			1.53	1.29	76.00	6.30	0.10			2.98	1.92	72.00	11.75	0.38																															16.16	4.74	73.00	42.00	7.10			0.51	0.12	73.00	0.86	0.27			5.97	0.44	80.00	6.87	4.02			0.67	0.89	76.00	5.58	0.02			24.32	3.69	92.00	33.70	16.62			16.47	1.64	93.00	20.40	10.80		
0.00	10	3	7.78	1.80	67.00	12.00	4.00			13.43	1.04	35.00	16.29	11.50			24.70	3.38	32.00	30.58	18.09										13.05	1.26	53.00	16.28	10.60			25.12	3.59	55.00	31.06	17.34			6.23	0.46	71.00	7.55	4.83			0.10	0.06	71.00	0.32	0.02			0.09	0.09	71.00	0.47	0.02			0.69	1.14	61.00	5.20	0.02			0.51	0.77	42.00	3.81	0.10			0.40	0.38	70.00	1.73	0.02			2.43	2.03	69.00	8.95	0.10			3.71	1.88	70.00	12.50	1.00																															16.55	4.74	69.00	46.70	8.85			0.56	0.15	68.00	0.94	0.24			6.23	0.46	71.00	7.55	4.83			1.05	1.35	70.00	6.59	0.10			25.03	3.44	71.00	31.06	17.34			13.11	1.20	71.00	16.29	10.60		
